Date,Open,High,Low,Close,Volume,Adj Close
2014-04-28,11810.00,11870.00,11760.00,11870.00,2900,11870.00
2014-04-25,11880.00,11880.00,11740.00,11780.00,5000,11780.00
2014-04-24,11980.00,12000.00,11790.00,11850.00,4000,11850.00
2014-04-23,11940.00,12050.00,11830.00,11840.00,3400,11840.00
2014-04-22,11890.00,12000.00,11800.00,12000.00,3600,12000.00
2014-04-21,11840.00,11840.00,11840.00,11840.00,000,11840.00
2014-04-18,11840.00,11840.00,11840.00,11840.00,000,11840.00
2014-04-17,11840.00,11840.00,11840.00,11840.00,000,11840.00
2014-04-16,11720.00,11840.00,11620.00,11840.00,7800,11840.00
2014-04-15,11760.00,11850.00,11520.00,11600.00,4700,11600.00
2014-04-14,11700.00,11850.00,11510.00,11620.00,8400,11620.00
2014-04-11,11930.00,11950.00,11660.00,11950.00,11600,11950.00
2014-04-10,12340.00,12340.00,12050.00,12050.00,4100,12050.00
2014-04-09,12310.00,12420.00,12190.00,12230.00,4400,12230.00
2014-04-08,12400.00,12420.00,12080.00,12220.00,6500,12220.00
2014-04-07,12410.00,12410.00,12100.00,12290.00,9300,12290.00
2014-04-04,13000.00,13000.00,12490.00,12550.00,9900,12550.00
2014-04-03,12600.00,12710.00,12520.00,12700.00,10600,2540.00
2014-04-02,12390.00,12570.00,12390.00,12520.00,10200,2504.00
2014-04-01,12360.00,12400.00,12270.00,12320.00,12900,2464.00
2014-03-31,12500.00,12580.00,12430.00,12500.00,19100,2298.40
2014-03-28,12010.00,12280.00,12010.00,12280.00,14200,2257.95
2014-03-27,11890.00,11940.00,11850.00,11920.00,5600,2191.75
2014-03-26,11900.00,11940.00,11840.00,11870.00,7300,2182.56
2014-03-25,11720.00,11820.00,11720.00,11780.00,4500,2166.01
2014-03-24,11850.00,11910.00,11720.00,11720.00,3900,2154.98
2014-03-21,11930.00,12020.00,11840.00,11850.00,10900,2178.88
2014-03-20,11830.00,11850.00,11650.00,11710.00,7100,2153.14
2014-03-19,11900.00,11950.00,11790.00,11880.00,9800,2184.40
2014-03-18,11860.00,11860.00,11700.00,11840.00,9100,2177.04
2014-03-17,11660.00,11870.00,11660.00,11810.00,5600,2171.53
2014-03-14,11800.00,11850.00,11610.00,11710.00,12700,2153.14
2014-03-13,12140.00,12140.00,11950.00,11970.00,14100,2200.95
2014-03-12,12000.00,12140.00,11920.00,12050.00,257400,2215.66
2014-03-11,12290.00,12480.00,12280.00,12480.00,5900,2294.72
2014-03-10,12430.00,12450.00,12270.00,12280.00,5900,2257.95
2014-03-07,12580.00,12610.00,12430.00,12440.00,5600,2287.37
2014-03-06,12690.00,12760.00,12580.00,12640.00,5900,2324.14
2014-03-05,12670.00,12770.00,12580.00,12610.00,4700,2318.63
2014-03-04,12420.00,12720.00,12420.00,12680.00,6400,2331.50
2014-03-03,12450.00,12450.00,12220.00,12320.00,9100,2265.30
2014-02-28,12480.00,12700.00,12410.00,12670.00,9600,2329.66
2014-02-27,12520.00,12520.00,12100.00,12280.00,22900,2257.95
2014-02-26,12790.00,12820.00,12560.00,12620.00,6200,2320.46
2014-02-25,12600.00,12840.00,12600.00,12720.00,6200,2338.85
2014-02-24,12500.00,12660.00,12430.00,12660.00,7000,2327.82
2014-02-21,12390.00,12510.00,12390.00,12460.00,7700,2291.05
2014-02-20,12220.00,12340.00,12210.00,12320.00,4400,2265.30
2014-02-19,12250.00,12360.00,12210.00,12340.00,4300,2268.98
2014-02-18,12400.00,12400.00,12200.00,12320.00,2800,2265.30
2014-02-17,12350.00,12440.00,12330.00,12340.00,1500,2268.98
2014-02-14,12220.00,12350.00,12190.00,12320.00,1800,2265.30
2014-02-13,12350.00,12350.00,12200.00,12220.00,2300,2246.92
2014-02-12,12240.00,12340.00,12140.00,12290.00,4100,2259.79
2014-02-11,12100.00,12210.00,12100.00,12200.00,3500,2243.24
2014-02-10,12190.00,12190.00,12010.00,12080.00,2200,2221.17
2014-02-07,11740.00,12030.00,11740.00,12030.00,5100,2211.98
2014-02-06,11670.00,11720.00,11600.00,11670.00,11400,2145.79
2014-02-05,11620.00,11620.00,11500.00,11560.00,3800,2125.56
2014-02-04,11620.00,11700.00,11490.00,11540.00,7000,2121.88
2014-02-03,11930.00,11970.00,11710.00,11770.00,4600,2164.17
2014-01-31,11980.00,12020.00,11790.00,11830.00,4400,2175.21
2014-01-30,11920.00,12080.00,11780.00,12070.00,4500,2219.33
2014-01-29,12190.00,12210.00,11850.00,12000.00,7800,2206.46
2014-01-28,11890.00,12170.00,11890.00,12100.00,3600,2224.85
2014-01-27,12230.00,12300.00,11870.00,11890.00,11800,2186.24
2014-01-24,12520.00,12630.00,12330.00,12340.00,5600,2268.98
2014-01-23,12440.00,12770.00,12440.00,12470.00,6700,2292.88
2014-01-22,12620.00,12620.00,12400.00,12490.00,3400,2296.56
2014-01-21,12480.00,12600.00,12450.00,12530.00,3400,2303.92
2014-01-20,12590.00,12590.00,12430.00,12430.00,3400,2285.53
2014-01-17,12630.00,12630.00,12500.00,12590.00,4400,2314.95
2014-01-16,12870.00,12910.00,12600.00,12630.00,3500,2322.30
2014-01-15,12730.00,12940.00,12700.00,12830.00,7800,2359.08
2014-01-14,12500.00,12780.00,12350.00,12780.00,6700,2349.88
2014-01-13,12300.00,12650.00,12300.00,12490.00,6700,2296.56
2014-01-10,12040.00,12290.00,12040.00,12200.00,4800,2243.24
