Date,Open,High,Low,Close,Volume,Adj Close
2014-04-28,697.07,697.07,697.07,697.07,000,697.07
2014-04-25,693.86,693.86,693.86,693.86,000,693.86
2014-04-24,698.35,698.35,698.35,698.35,000,698.35
2014-04-23,700.79,700.79,700.79,700.79,000,700.79
2014-04-22,702.30,702.30,702.30,702.30,000,702.30
2014-04-16,681.95,681.95,681.95,681.95,000,681.95
2014-04-15,669.12,669.12,669.12,669.12,000,669.12
2014-04-14,673.35,673.35,673.35,673.35,000,673.35
2014-04-11,679.26,679.26,679.26,679.26,000,679.26
2014-04-10,688.04,688.04,688.04,688.04,000,688.04
2014-04-09,694.50,694.50,694.50,694.50,000,694.50
2014-04-08,686.28,686.28,686.28,686.28,000,686.28
2014-04-07,695.86,695.86,695.86,695.86,000,695.86
2014-04-04,707.29,707.29,707.29,707.29,000,707.29
2014-04-03,706.23,706.23,706.23,706.23,000,706.23
2014-04-02,707.53,707.53,707.53,707.53,000,707.53
2014-04-01,702.86,702.86,702.86,702.86,000,702.86
2014-03-31,702.40,702.40,702.40,702.40,000,702.40
2014-03-28,696.39,696.39,696.39,696.39,000,696.39
2014-03-27,687.11,687.11,687.11,687.11,000,687.11
2014-03-26,682.43,682.43,682.43,682.43,000,682.43
2014-03-25,677.22,677.22,677.22,677.22,000,677.22
2014-03-24,675.34,675.34,675.34,675.34,000,675.34
2014-03-21,679.74,679.74,679.74,679.74,000,679.74
2014-03-20,686.72,686.72,686.72,686.72,000,686.72
2014-03-19,690.40,690.40,690.40,690.40,000,690.40
2014-03-18,693.48,693.48,693.48,693.48,000,693.48
2014-03-17,686.12,686.12,686.12,686.12,000,686.12
2014-03-14,681.01,681.01,681.01,681.01,000,681.01
2014-03-13,693.11,693.11,693.11,693.11,000,693.11
2014-03-12,694.62,694.62,694.62,694.62,000,694.62
2014-03-11,705.52,705.52,705.52,705.52,000,705.52
2014-03-10,704.82,704.82,704.82,704.82,000,704.82
2014-03-07,712.18,712.18,712.18,712.18,000,712.18
2014-03-06,718.42,718.42,718.42,718.42,000,718.42
2014-03-05,720.09,720.09,720.09,720.09,000,720.09
2014-03-04,719.49,719.49,719.49,719.49,000,719.49
2014-03-03,702.16,702.16,702.16,702.16,000,702.16
2014-02-28,719.51,719.51,719.51,719.51,000,719.51
2014-02-27,713.87,713.87,713.87,713.87,000,713.87
2014-02-26,718.33,718.33,718.33,718.33,000,718.33
2014-02-25,724.61,724.61,724.61,724.61,000,724.61
2014-02-24,704.63,704.63,704.63,704.63,000,704.63
2014-02-21,695.85,695.85,695.85,695.85,000,695.85
2014-02-20,689.66,689.66,689.66,689.66,000,689.66
2014-02-19,690.99,690.99,690.99,690.99,000,690.99
2014-02-18,684.78,684.78,684.78,684.78,000,684.78
2014-02-17,685.70,685.70,685.70,685.70,000,685.70
2014-02-14,683.90,683.90,683.90,683.90,000,683.90
2014-02-13,679.37,679.37,679.37,679.37,000,679.37
2014-02-12,676.43,676.43,676.43,676.43,000,676.43
2014-02-11,674.59,674.59,674.59,674.59,000,674.59
2014-02-10,673.93,673.93,673.93,673.93,000,673.93
2014-02-07,669.30,669.30,669.30,669.30,000,669.30
2014-02-06,661.01,661.01,661.01,661.01,000,661.01
2014-02-05,650.67,650.67,650.67,650.67,000,650.67
