Web Search interest: kanalrundfart
Capital Region of Denmark (Denmark); 2004 - present

Interest over time
Month,kanalrundfart
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,44
2005-06,49
2005-07,100
2005-08,64
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,37
2006-06,66
2006-07,81
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,21
2007-04,28
2007-05,25
2007-06,24
2007-07,41
2007-08,41
2007-09,20
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,17
2008-05,34
2008-06,40
2008-07,50
2008-08,34
2008-09,20
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,44
2009-05,22
2009-06,40
2009-07,59
2009-08,32
2009-09,18
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,18
2010-04,27
2010-05,27
2010-06,47
2010-07,85
2010-08,46
2010-09,17
2010-10,19
2010-11,9
2010-12,9
2011-01,9
2011-02,9
2011-03,13
2011-04,37
2011-05,33
2011-06,59
2011-07,72
2011-08,50
2011-09,21
2011-10,18
2011-11,7
2011-12,8
2012-01,8
2012-02,8
2012-03,12
2012-04,20
2012-05,31
2012-06,30
2012-07,88
2012-08,48
2012-09,26
2012-10,18
2012-11,10
2012-12,8
2013-01,8
2013-02,7
2013-03,9
2013-04,18
2013-05,34
2013-06,35
2013-07,99
2013-08,48
2013-09,26
2013-10,13
2013-11,6
2013-12,6
2014-01,6
2014-02,6
2014-03,19
2014-04,27
2014-05,20


Top cities for kanalrundfart
City,kanalrundfart
Copenhagen,100
Hvidovre,94
Frederiksberg,79
Lyngby,74



Top searches for kanalrundfart
kanalrundfart københavn,100
kanalrundfart i københavn,20
dfds kanalrundfart,15
dfds,15
kanalrundfart nyhavn,15



Rising searches for kanalrundfart
dfds,Breakout
dfds kanalrundfart,Breakout
kanalrundfart i københavn,Breakout
kanalrundfart københavn,Breakout
kanalrundfart nyhavn,Breakout



