STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
061800,99999, 19970101,   18.2,24,   15.3,24, 1025.9,24, 1025.2,24,   8.1,24,   6.2,24,   8.9, 999.9,   25.7 ,   9.9 , 0.00D,999.9, 000000,
061800,99999, 19970102,   22.9,24,   20.6,24, 1026.3,24, 1025.7,24,   7.1,24,   4.9,24,   9.9, 999.9,   25.3 ,  16.0 , 0.00E,999.9, 001000,
061800,99999, 19970103,   21.3,24,   19.0,24, 1026.7,24, 1026.0,24,   5.5,24,   7.1,24,   9.9, 999.9,   24.8*,  16.3 , 0.00D,999.9, 100000,
061800,99999, 19970104,   21.0,24,   16.6,24, 1018.3,24, 1017.6,24,   9.5,24,   8.3,24,  15.0, 999.9,   26.6 ,  14.4 , 0.00D,999.9, 000000,
061800,99999, 19970105,   23.4,24,   20.1,24, 1014.8,24, 1014.2,24,   8.6,24,   6.6,24,   9.9, 999.9,   30.2*,  17.4 , 0.00D,999.9, 000000,
061800,99999, 19970106,   24.9,24,   21.8,24, 1022.6,24, 1022.0,24,   7.8,24,   6.1,24,   8.9, 999.9,   29.3 ,  15.8*, 0.00D,999.9, 000000,
061800,99999, 19970107,   22.8,24,   20.9,24, 1021.9,24, 1021.3,24,   2.5,24,   8.4,24,  12.0, 999.9,   28.4*,  12.6 , 0.00D,999.9, 101000,
061800,99999, 19970108,   28.3,24,   26.4,24, 1014.2,24, 1013.6,24,   2.7,24,  11.5,24,  15.9, 999.9,   29.1 ,  26.6*, 0.00E,999.9, 001000,
061800,99999, 19970109,   22.4,24,   20.1,24, 1015.0,24, 1014.4,24,   5.6,24,   6.5,24,   9.9, 999.9,   28.6 ,  20.1 , 0.00F,999.9, 101000,
061800,99999, 19970110,   22.1,24,   17.7,24, 1023.5,24, 1022.9,24,   6.8,24,   4.2,24,   8.0, 999.9,   30.2*,  16.5 , 0.00E,999.9, 100000,
061800,99999, 19970111,   23.5,24,   18.1,24, 1030.7,24, 1030.0,24,   5.1,24,   4.2,24,   7.0, 999.9,   30.2 ,  16.5 , 0.00D,999.9, 100000,
061800,99999, 19970112,   26.8,24,   22.9,24, 1026.6,24, 1026.0,24,   4.0,24,  15.0,24,  21.0, 999.9,   32.0*,  19.9 , 0.00E,999.9, 011000,
061800,99999, 19970113,   34.9,24,   32.1,24, 1018.6,24, 1018.0,24,   0.8,24,  14.1,24,  20.0, 999.9,   37.4*,  28.4 , 0.00E,999.9, 100000,
061800,99999, 19970114,   35.6,24,   32.7,24, 1021.1,24, 1020.5,24,   1.9,24,   9.5,24,  15.9, 999.9,   39.2 ,  31.5 , 0.00D,999.9, 100000,
061800,99999, 19970115,   32.3,24,   27.0,24, 1020.9,24, 1020.3,24,   4.9,24,   7.0,24,  11.1, 999.9,   38.5 ,  26.6*, 0.00D,999.9, 100000,
061800,99999, 19970116,   29.7,24,   26.9,24, 1022.8,24, 1022.2,24,   0.1,24,   5.0,24,   8.0, 999.9,   33.4 ,  28.2 , 0.00D,999.9, 100000,
061800,99999, 19970117,   29.0,24,   27.6,24, 1017.0,24, 1016.4,24,   0.5,24,   4.7,24,   7.0, 999.9,   34.0 ,  26.6*, 0.00D,999.9, 100000,
061800,99999, 19970118,   31.8,24,   30.6,24, 1012.4,24, 1011.8,24,   1.0,24,   8.4,24,  12.0, 999.9,   36.1 ,  24.4 , 0.00E,999.9, 110000,
061800,99999, 19970119,   34.5,24,   32.8,24, 1013.5,24, 1012.9,24,   1.7,24,   9.3,24,  14.0, 999.9,   36.0 ,  31.3 , 0.00D,999.9, 110000,
061800,99999, 19970120,   34.4,24,   32.7,24, 1020.1,24, 1019.5,24,   1.6,24,   4.9,24,   7.0, 999.9,   36.1 ,  32.0*, 0.00E,999.9, 110000,
